"BASIC_Interviewed","BASIC_Type","BASIC_Size_SowsNUM.37.0...102.5...270.0...428.8...635.0..2100.0","BASIC_size_sows102_270_635_","BASIC_Size_GiltsNUM","BASIC_Size_PigsNUM","BASIC_sizepigs_31_307_550_3000","BASIC_Size_BoarsNUM","BASIC_Water_0own_1com_2noinfo","BASIC_edulevel","BASIC_ave_exp_NUM_NO","BASIC_edumax_NUM_NO","BASIC_edumax_26","BASIC_no_workers_NUM_NO","BASIC_STRESSLEVEL_verymucherpal_some","BASIC_no_workers_nopigs_NO","BASIC_SOWS_herdsizeREG_NUM_NO","OUT_SOW_mort_proNUM","OUT_SOW_mort_dic","OUT_SOW_totremproNUM","OUT_SOW_totrem_dic","OUT_SOW_cullproNUM","OUT_SOW_cull_dic"
2,"piglet",600,3,150,0,0,4,1,4,5,5,1,4,"some",4,631,5,0,34,0,29,0
2,"int",37,1,38,250,2,1,1,3,15,25,1,2,"some",2,37,5,0,38,0,33,0
2,"int",300,3,100,300,2,4,1,2,18,30,2,3,"much",3,317,8,0,53,1,45,1
1,"piglet",550,3,0,0,0,6,0,3,11,20,2,4,"average",4,504,27,1,57,1,30,0
2,"piglet",2100,4,710,0,0,4,1,5,10,25,1,6,"much",6,2043,10,1,65,1,55,1
1,"int",60,1,30,130,2,2,1,3,32,47,2,2,"some",2,44,0,0,64,1,64,1
2,"int",230,2,80,450,3,2,0,5,25,40,2,3,"some",3,230,17,1,47,1,30,0
2,"piglet",200,1,30,0,0,NA,1,3,6,13,1,2,"some",2,232,13,1,44,0,31,0
1,"int",100,1,0,500,3,2,2,3,6,11,1,2,"average",2,94,0,0,24,0,24,0
2,"piglet",420,3,30,10,1,2,1,3,12,12,1,3,"verymuch",3,385,6,0,34,0,28,0
2,"piglet",81,1,19,32,2,1,1,3,30,30,2,2,"verymuch",2,92,9,0,38,0,29,0
2,"int",220,2,20,94,2,2,1,2,5,10,1,2,"verymuch",2,219,5,0,41,0,36,0
2,"int",750,4,400,3000,4,2,0,3,6,8,1,7,"average",5,825,10,1,79,1,70,1
2,"int",53,1,1,56,2,1,1,3,28,28,2,2,"some",2,51,8,0,35,0,27,0
2,"int",570,3,100,3000,4,6,1,3,30,40,1,4,"some",2,684,9,0,50,1,42,1
2,"int",40,1,20,190,2,1,0,3,25,20,1,2,"average",2,54,4,0,26,0,22,0
2,"int",150,2,20,500,3,1,0,3,40,40,2,2,"some",2,143,8,0,48,1,40,1
2,"piglet",40,1,11,12,1,1,0,4,25,40,2,4,"average",4,46,2,0,31,0,29,0
2,"piglet",260,2,20,20,1,4,0,3,14,25,1,3,"verymuch",3,263,5,0,43,0,38,1
2,"piglet",105,2,20,30,1,1,1,4,20,20,1,1,"some",1,114,7,0,45,0,38,1
1,"int",1000,4,156,0,0,6,1,3,10,20,1,6,"average",6,1084,8,0,35,0,27,0
2,"int",140,2,0,600,4,2,1,3,30,30,2,2,"average",2,142,4,0,34,0,30,0
2,"piglet",391,3,73,207,2,2,0,3,24,40,2,4,"average",4,409,5,0,49,1,44,1
1,"int",700,4,250,1120,4,4,0,5,13,25,1,6,"much",5,690,23,1,69,1,45,1
2,"piglet",270,3,50,50,2,3,1,3,19,35,2,2,"average",2,262,11,1,45,0,34,0
3,"piglet",956,4,30,0,0,3,1,3,17,33,2,5,"average",5,959,14,1,58,1,45,1
2,"int",84,1,20,600,4,1,1,3,33,40,2,2,"much",2,91,2,0,43,0,41,1
1,"piglet",74,1,0,5,1,2,1,3,25,30,2,2,"some",2,76,17,1,53,1,35,0
2,"int",155,2,25,330,3,2,0,4,25,30,2,2,"verymuch",2,157,11,1,60,1,49,1
3,"piglet",670,4,170,10,1,3,1,2,11,20,1,5,"average",5,683,19,1,51,1,32,0
1,"int",600,3,65,2000,4,2,0,4,17,30,2,5,"much",4,613,7,0,46,1,39,1
1,"piglet",380,3,30,40,2,2,1,4,15,22,1,1,"some",1,385,14,1,94,1,80,1
1,"int",60,1,2,0,0,1,0,3,15,15,1,1,"verymuch",1,49,10,1,24,0,14,0
1,"int",180,2,0,0,0,4,1,3,20,30,2,3,"some",3,170,15,1,38,0,24,0
2,"piglet",1000,4,0,0,0,7,0,3,16,30,2,7,"average",7,947,17,1,52,1,35,0
2,"piglet",500,3,120,214,2,3,1,4,4,6,1,3,"much",3,466,12,1,68,1,56,1
3,"piglet",800,4,25,0,0,4,0,2,14,27,2,6,"average",6,793,6,0,45,0,39,1
2,"int",140,2,37,810,4,2,1,3,35,35,2,2,"much",1,148,7,0,57,1,50,1
3,"piglet",1180,4,100,25,1,7,0,3,11,20,1,6,"some",6,1175,19,1,61,1,42,1
2,"int",310,3,40,1800,4,3,1,3,6,10,1,6,"much",5,298,11,1,41,0,35,0
3,"piglet",830,4,0,0,0,4,1,5,15,25,1,6,"some",6,805,6,0,44,0,33,0
1,"piglet",52,1,15,20,1,3,0,2,23,23,1,2,"some",2,50,14,1,121,1,107,1
2,"piglet",1102,4,43,0,0,7,1,2,3,20,1,5,"some",5,923,16,1,58,1,42,1
