"MG_feedtimes_preg","MG_feedtimes_far","MG_feed_liq_solid","MG_sowsincratespostmix","MG_materialtogetherwithmixing_0no_1yes","MG_rootingmat","MG_mixing_1ok_2tmp_3notmp_4oktmp","MG_owngilts","MG_owngilts.1","MG_instriple","MG_instriple.1","MG_aveins","MG_ind_feed","MG_BR_bedtype","MG_BR_amount","MG_BR_root01","MG_BR_toy01","MG_sickpen","MG_BR_dirt","MG_BR_feedtype","MG_BR_feedclean","MG_BR_dirtanim","MG_BR_ster","MG_EPHAR_kaNUM","MG_PR_type","MG_PR_root","MG_PR_toy","MG_rootamount","MG_PR_kuivaliete","MG_PR_ruok_0nonlock_1lock","MG_PR_feedtype","MG_PR_dirt","MG_PR_ster","MG_LPHAR_kaNUM","MG_FAR_bed","MG_FAR_bed12345","MG_FAR_bedamount","MG_FAR_root","MG_FAR_toy","MG_FAR_toynum","MG_FAR_rootamount","MG_FAR_dirt","MG_FAR_diranim","MG_PREG_toy","MG_BR_toy","MG_FAR_toytoinen","MG_SOWSperworker","OUT_SOWmortpro","OUT_SOWmortdic","OUT_SOWtotremoproNUM","OUT_SOWtotremdic","OUT_SOWcullproNUM","OUT_SOWculdic","OUT_JOINTproNUM","OUT_ABSproNUM","OUT_PLEURproNUM","OUT_PNEUMproNUM","OUT_LIVERproNUM","OUT_ORGANproNUM","OUT_SHOULDERproNUM","OUT_ALLproNUM","OUT_PARTproNUM","OUT_ANYproNUM","OUT_ALL_01","OUT_PART_01","OUT_ANY_01"
2,3,"liq","0",1,2,2,90,1,"1","1","2",1,0,4,"0","0",0,30,4,"0",20,1,"0,9",2,1,0,2,2,0,3,20,0,"0,9",0,0,4,0,0,0,0,10,10,"1","0","0",150,5,0,34,0,29,0,2,7,2,2,0,1,4,2,13,19,2,2,2
2,3,"liq","0",1,2,3,100,1,"2","1","2",1,1,2,"1","0",1,0,1,"0",0,0,"0,15",1,1,0,2,1,0,1,0,0,".1500000000000000",1,14,3,1,0,NA,2,30,20,"2","group","2",NA,5,0,38,0,33,0,0,0,0,0,0,0,8,0,0,8,1,1,1
1,3,"liq","2",1,1,4,95,1,"10","1","2",1,12,1,"y","0",1,0,25,"0",10,0,"0",12,1,0,1,1,0,25,10,0,".0000000000000000",1,12,3,1,0,NA,2,0,0,"2","group","2",100,8,0,53,1,45,1,0,5,5,3,2,3,2,2,5,11,2,1,1
2,4,"liq","7",0,0,4,0,0,"10","1","2",1,0,0,"0","0",1,20,4,"0",10,0,"0,2",13,0,0,0,2,1,4,20,0,"0,1",1,25,3,1,0,0,2,20,10,"0","noinfo","2",138,27,1,57,1,30,0,3,5,4,0,7,3,3,1,7,20,1,1,2
NA,NA,"","1",0,0,3,0,0,"15","1","2",1,0,0,"0","1",1,40,4,"1",NA,0,"1",2,1,0,1,2,0,5,20,0,"",0,0,4,1,1,4,2,20,15,"2","1","2",350,10,1,65,1,55,1,2,11,29,1,0,0,6,2,15,45,2,2,2
2,3,"liq","0",1,1,1,100,1,"0","0","2",1,14,1,"1","0",0,0,4,"0",20,0,"0,05",1,1,0,1,1,1,4,20,0,"",1,1,2,1,0,NA,2,0,20,"noinfo","noinfo","",30,0,0,64,1,64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,4,"liq","2",1,0,3,100,1,"0","0","2",1,1,3,"0","0",1,20,4,"0",30,0,"0,2",2,1,0,2,2,1,4,20,0,"0,2",1,1,3,1,0,NA,2,0,30,"1","1","2",77,17,1,47,1,30,0,3,14,10,1,1,0,7,7,16,32,2,2,2
2,3,"liq","0",1,1,1,0,0,"5","1","2",0,1,2,"1","1",1,30,4,"1",30,0,"0,6",1,1,0,1,1,0,5,10,0,".6000000000000000",1,12,2,1,0,NA,2,NA,10,"2","3","2",100,13,1,44,0,31,0,4,0,1,0,0,0,0,0,4,4,1,1,1
3,2,"sol","0",1,2,3,90,1,"0","0","2",0,0,4,"0","0",0,10,4,"0",10,0,"0,2",14,1,0,2,2,1,4,20,0,".0000000000000000",1,1,3,1,0,0,2,30,30,"1","1","1",50,0,0,24,0,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,"","0",1,1,2,0,0,"3","1","2",1,0,4,"0","0",1,20,4,"0",NA,0,"0,3",1,1,0,1,1,1,4,10,0,".7000000000000000",1,5,4,1,0,NA,2,NA,NA,"2","0","2",140,6,0,34,0,28,0,1,5,1,1,0,0,8,3,15,18,2,2,1
