"R_BR_sowspersection","R_BR_pensinsecNUM","R_BR_sowsNUM","R_BR_area2_NUM","R_BR_noise","R_BR_pest","R_BR_airqual","R_BR_C","R_BR_outC","R_BR_floorbetmetplastwoodother","R_BR_floorsolid_NUM","R_BR_kuivaliete","R_BR_PREGsame","OUT_SOWmortpro","OUT_SOWmortdic","OUT_SOWtotremoproNUM","OUT_SOWtotremdic","OUT_SOWcullproNUM","OUT_SOWculdic","OUT_JOINTproNUM","OUT_ABSproNUM","OUT_PLEURproNUM","OUT_PNEUMproNUM","OUT_LIVERproNUM","OUT_ORGANproNUM","OUT_SHOULDERproNUM","OUT_ALLproNUM","OUT_PARTproNUM","OUT_ANYproNUM","OUT_ALL_01","OUT_PART_01","OUT_ANY_01"
">100",0,NA,"1,5275",0,0,1,"19","","bet",80,2,0,5,0,34,0,29,0,2,7,2,2,0,1,4,2,13,19,2,2,2
"all",1,NA,"group",1,1,0,"0","8","bet",80,1,0,5,0,38,0,33,0,0,0,0,0,0,0,8,0,0,8,1,1,1
"all",18,11,"1,536",0,1,0,"18","15","bet",99,1,1,8,0,53,1,45,1,0,5,5,3,2,3,2,2,5,11,2,1,1
"50-100",1,NA,"1,5675",0,0,1,"26","25","betmet",80,2,0,27,1,57,1,30,0,3,5,4,0,7,3,3,1,7,20,1,1,2
"noinfo",NA,NA,"1,75",0,0,1,"19","24","bet",70,2,0,10,1,65,1,55,1,2,11,29,1,0,0,6,2,15,45,2,2,2
"20-50",NA,NA,"group",0,0,0,"23","","bet",100,1,1,0,0,64,1,64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20-50",NA,NA,"1,725",1,1,0,"19","","betmet",80,2,0,17,1,47,1,30,0,3,14,10,1,1,0,7,7,16,32,2,2,2
"50-100",0,NA,"1,848",0,1,1,"17,15","2","bet",90,2,0,13,1,44,0,31,0,4,0,1,0,0,0,0,0,4,4,1,1,1
"20-50",0,NA,"1,7625",1,0,0,"26","25","bet",80,2,1,0,0,24,0,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
">100",0,NA,"1,875",1,1,0,"24,5","25","betmet",80,2,0,6,0,34,0,28,0,1,5,1,1,0,0,8,3,15,18,2,2,1
"50-100",0,NA,"1,518",0,0,0,"16","","12",80,2,1,9,0,38,0,29,0,0,4,11,0,0,0,7,0,4,19,1,1,1
"50-100",72,NA,"1,63262",1,1,1,"19,6","","betmet",80,2,0,5,0,41,0,36,0,3,15,1,1,0,6,3,0,35,35,1,2,2
"20-50",0,NA,"1,8",1,1,1,"22,5","19","betmet",75,2,0,10,1,79,1,70,1,4,6,26,1,1,1,7,5,10,44,2,1,2
"all",4,6,"1,1395",1,0,1,"22","","bet",100,1,0,8,0,35,0,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50-100",0,NA,"1,9875",1,1,1,"18,75","10","bet",70,2,0,9,0,50,1,42,1,2,4,2,0,0,0,1,1,8,8,1,1,1
"all",NA,NA,"1,61",0,1,1,"17","18","bet",80,2,1,4,0,26,0,22,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"20-50",0,NA,"1,56",1,0,0,"21","25","bet",80,2,0,8,0,48,1,40,1,2,7,14,2,0,0,7,5,16,33,2,2,2
"<20",6,2.5,"group",0,1,0,"21,5","","bet",100,12,1,2,0,31,0,29,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"50-100",NA,NA,"3,52",0,0,0,"22","","betmet",65,2,0,5,0,43,0,38,1,2,4,1,0,0,2,2,1,8,11,1,1,1
"<20",1,NA,"1,188",0,0,0,"17","","1",60,1,0,7,0,45,0,38,1,5,16,0,0,0,0,5,2,28,28,2,2,2
"50-100",0,NA,"1,6416",1,1,1,"21,725","","bet",50,2,0,8,0,35,0,27,0,1,9,2,1,0,0,3,1,13,15,1,2,1
"22",NA,NA,"2,25",0,0,1,"18","13","bet",90,2,0,4,0,34,0,30,0,5,7,14,0,0,0,2,2,7,23,2,1,2
"50-100",0,NA,"1,8881",1,1,0,"21,94","","bet",75,2,0,5,0,49,1,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50-100",0,NA,"1,61",1,1,1,"22","14","betmet",80,1,0,23,1,69,1,45,1,5,9,32,1,0,0,12,1,19,49,1,2,2
"20-50",0,NA,"1,725",1,0,0,"24,25","23","bet",85,12,0,11,1,45,0,34,0,2,7,1,1,0,0,1,1,11,12,1,1,1
"50-100",0,NA,"1,7856",0,1,0,"19,075","","betmet",80,2,0,14,1,58,1,45,1,3,5,2,1,0,0,2,1,11,12,1,1,1
"20-50",NA,NA,"1,38",1,0,0,"22","","bet",100,1,1,2,0,43,0,41,1,11,5,0,0,0,0,0,0,16,16,1,2,1
"50-100",9,8,"0,9747",1,0,0,"18,68","","bet",75,2,1,17,1,53,1,35,0,13,0,0,0,0,13,7,7,20,33,2,2,2
"20-50",0,NA,"1,635",1,1,0,"18,1","","bet",67,2,0,11,1,60,1,49,1,1,8,36,3,0,0,13,0,9,49,1,1,2
">100",0,NA,"1,61",0,0,0,"26,375","31","bet",80,1,0,19,1,51,1,32,0,2,8,2,0,0,0,1,1,10,11,2,1,1
"50-100",0,NA,"1,61",1,0,0,"19,5","19","bet",80,2,0,7,0,46,1,39,1,3,15,31,2,0,0,23,4,20,55,2,2,2
">100",20,NA,"1,84",1,1,0,"27,67","28,3","bet",80,2,0,14,1,94,1,80,1,4,7,4,4,7,5,5,2,14,27,2,2,2
"20-50",2,NA,"1,875",1,1,1,"19","14","betmet",80,2,1,10,1,24,0,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"all",6,4,"1,87",0,1,1,"25","","bet",100,1,1,15,1,38,0,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"noinfo",NA,NA,"2,25",0,0,1,"26","20","bet",80,2,NA,17,1,52,1,35,0,2,12,28,2,0,0,9,4,19,47,2,2,2
">100",NA,NA,"1,38",0,1,1,"19","","bet",80,2,0,12,1,68,1,56,1,2,4,0,0,0,0,2,0,8,8,1,1,1
">100",NA,NA,"1,26",1,0,0,"22","","bet",85,2,0,6,0,45,0,39,1,0,5,1,1,0,0,2,1,9,11,1,1,1
"50-100",NA,NA,"1,75",1,0,0,"18","","bet",80,2,1,7,0,57,1,50,1,4,9,0,3,0,0,3,0,15,15,1,2,1
"50-100",0,NA,"1,54",1,1,1,"23,275","","betmet",80,2,0,19,1,61,1,42,1,3,15,29,2,0,0,8,3,19,47,2,2,2
"50-100",NA,NA,"1,188",0,0,1,"20","","bet",75,2,0,11,1,41,0,35,0,2,10,23,2,0,0,7,2,11,39,2,2,2
"50-100",1,60,"1,645",0,1,0,"22,85","25","bet",55,12,0,6,0,44,0,33,0,4,4,1,0,0,0,2,1,11,12,1,1,1
"<20",1,14,"1,1375",0,0,0,"15","","bet",100,1,1,14,1,121,1,107,1,0,2,0,2,11,0,8,2,0,19,2,1,1
"20-50",NA,NA,"1,14",0,0,0,"18","","betmet",60,2,0,16,1,58,1,42,1,5,10,5,1,0,0,4,4,19,24,2,2,2
