"MG_BR_giltpurchage_NUM_NO","MG_BR_giltchangebeforeins_NO","MG_BR_giltflush_NO","MG_BR_giltboarstart_NO","MG_BR_giltinsage_NO","MG_BR_heatgroup_NO","MG_BR_heatdetec_startNUM_NO","MG_BR_heatmarkback_NO","MG_BR_artinspro_050_5099_100","MG_BR_farmsemenNUM_NO","MG_BR_insonceNUM_NO","MG_BR_once_012","MG_BR_instriple_NO","MG_BR_triple_012","MG_BR_nopregus","MG_BR_bedtype_NO","MG_BR_bedny","MG_BR_amount","MG_BR_rootny","MG_BR_toyny","MG_BR_dirt_NUM_NO","MG_BR_animdirtmed","MG_BR_feedtype","MG_BR_feedclean","MG_BR_calm","MG_BR_dirtanim_NUM_NO","MG_BR_dirtanimmed","MG_BR_ster","MG_BR_sowsperboar_NUM_NO","OUT_SOW_mort_proNUM","OUT_SOW_mort_dic","OUT_SOW_totremproNUM","OUT_SOW_totrem_dic","OUT_SOW_cullproNUM","OUT_SOW_cull_dic"
4,0,"0","7","8","0","0","1",1,0,"0",0,"1","1","1",0,0,4,0,"0",30,2,4,"0",2,20,2,1,"150",5,0,34,0,29,0
0,0,"1","6","7","1","0","0",1,0,"8",1,"2","1","1",1,1,2,1,"0",0,1,1,"0",1,0,1,0,"37",5,0,38,0,33,0
0,1,"0","7,5","8","1","5","1",2,95,"0",0,"10","1","2",12,1,1,1,"0",0,1,25,"0",1,10,1,0,"75",8,0,53,1,45,1
7,0,"0","7,5","7,5","1","0","1",2,0,"10",1,"10","1","1",0,0,0,0,"0",20,2,4,"0",1,10,1,0,"92",27,1,57,1,30,0
3,1,"1","7","8","1","1","1",2,50,"0",0,"15","2","2",0,0,0,0,"1",40,2,4,"1",1,NA,NA,0,"525",10,1,65,1,55,1
0,0,"0","7,5","9,5","1","0","1",1,0,"10",1,"0","0","0",14,1,1,1,"0",0,1,4,"0",1,20,2,0,"30",0,0,64,1,64,1
0,1,"0","7","8","1","3","1",1,0,"80",2,"0","0","0",1,1,3,0,"0",20,2,4,"0",2,30,2,0,"115",17,1,47,1,30,0
5,0,"1","7","8","1","3","0",2,0,"5",1,"5","1","1",1,1,2,1,"1",30,2,4,"1",1,30,2,0,"200",13,1,44,0,31,0
7,0,"1","7","8","1","0","1",1,0,"0",0,"0","0","1",0,0,4,0,"0",10,1,4,"0",1,10,1,0,"50",0,0,24,0,24,0
0,1,"0","7","8","1","1","1",2,0,"2",1,"3","1","1",0,0,4,0,"0",20,2,4,"0",1,NA,NA,0,"210",6,0,34,0,28,0
