"MG_FAR_ToFarunitNUM_NO","MG_FAR_ind_0no_1rout_2sometimes","MG_FAR_NestmatdaysNUM_NO","MG_FAR_nestmatamount","MG_FAR_nestmat_NO","MG_FAR_ox_0_13_46_7","MG_FAR_obstex_preox","MG_FAR_far_assist_CAT","MG_FAR_farassist_MAY_NO","MG_FAR_piglet_rem_ageNUM_NO","MG_FAR_piglet_rem_amountCAT","MG_FAR_pigletremaount_NUM_NO","MG_FAR_piglet_addfeedage","MG_FAR_bed_yn","MG_FAR_bed12345_NO","MG_FAR_bedamount","MG_FAR_root_yn","MG_FAR_toy","MG_FAR_toynum_NO","MG_FAR_rootamount","MG_FAR_dirt_NUM_NO","MG_FAR_dirtmed","MG_FAR_diranim_NUM_NO","MG_FAR_diranimmed","MG_FAR_toytoinen_MIKA_NO","OUT_SOW_mort_proNUM","OUT_SOW_mort_dic","OUT_SOW_totremproNUM","OUT_SOW_totrem_dic","OUT_SOW_cullproNUM","OUT_SOW_cull_dic"
6,2,6,3,"STR",3,"1","50","WASH_GLO_LUBR","0,5","1","9","7-14",0,0,4,0,0,0,0,10,1,10,1,"0",5,0,34,0,29,0
5,0,1,2,"STR",1,"0","20-50","WASH_HANDWASH_GLO_LUBR","1","1","5","7-14",1,14,3,1,0,NA,2,30,2,20,2,"2",5,0,38,0,33,0
4,2,4,2,"STR_CUT",1,"0","<6","WASH_GLO_LUBR","0,5","1","4","<7",1,12,3,1,0,NA,2,0,1,0,1,"2",8,0,53,1,45,1
7,2,7,2,"heiina ",1,"1","20-50","WASH_HANDWASH_GLO_LUBR","0,5","3","25","<7",1,25,3,1,0,0,2,20,2,10,1,"2",27,1,57,1,30,0
7,2,2,3,"_NWS",3,"0","noinfo","_GLO_LUBR","1","4","50","<7",0,0,4,1,1,4,2,20,2,15,2,"2",10,1,65,1,55,1
7,2,0,2,"STR_CUT",3,"0","10","WASH_HANDWASH_GLO_LUBR","no","0","0","7-14",1,1,2,1,0,NA,2,0,1,20,2,"",0,0,64,1,64,1
3,2,3,3,"STR",3,"0","15","_GLO_LUBR","0,5","1","10","7-14",1,1,3,1,0,NA,2,0,1,30,2,"2",17,1,47,1,30,0
5,0,2,1,"STR_NWS",2,"1","20-50","_GLO_LUBR","1","3","43","<7",1,12,2,1,0,NA,2,NA,NA,10,1,"2",13,1,44,0,31,0
5,0,5,2,"STR",2,"0","<6","WASH_GLO_LUBR","0,5","2","12","<7",1,1,3,1,0,0,2,30,2,30,2,"1",0,0,24,0,24,0
5,2,3,2,"_NWS",2,"0","50","WASH_HANDWASH_GLO_LUBR","1","4","50","<7",1,5,4,1,0,NA,2,NA,NA,NA,NA,"2",6,0,34,0,28,0
3,0,3,1,"STR_CUT_NWS",1,"1","6-20","WASH_HANDWASH_LUBR","1,5","2","10","7-14",1,12,1,1,1,2,1,20,2,NA,NA,"",9,0,38,0,29,0
4,0,4,2,"_NWS",1,"0","6-20","_GLO_LUBR","1","1","7,5","<7",0,0,4,1,1,2,2,10,1,10,1,"2",5,0,41,0,36,0
3,2,1,3,"no ",NA,"noinfo","noinfo","","noinfo","noinfo","noinfo","<3",1,2,3,1,1,4,2,NA,NA,80,2,"2",10,1,79,1,70,1
7,2,7,1,"STR",1,"0","6-20","WASH_GLO_LUBR","0,5","1","2","<7",1,12,1,1,0,NA,1,0,1,0,1,"2",8,0,35,0,27,0
5,0,5,2,"STR_CUT",2,"0","6-20","_GLO_LUBR","0,5","1","5","<7",1,12,2,1,1,4,2,20,2,20,2,"1",9,0,50,1,42,1
