"R_BR_sowspersection","R_BR_area2_NUM","R_BR_type","R_BR_noise","R_BR_pest_NO","R_BR_airqual","R_BR_C_NUM_NO","R_BR_outC","R_BR_floorbetmetplastwoodother","R_BR_floorsolid_NUM_NO","R_BR_floorsolid_0981_2","R_BR_kuivaliete","R_BR_PREGsame","OUT_SOW_mort_proNUM","OUT_SOW_mort_dic","OUT_SOW_totremproNUM","OUT_SOW_totrem_dic","OUT_SOW_cullproNUM","OUT_SOW_cull_dic"
">100","1,5275",3,0,0,1,"19","","bet",80,1,2,0,5,0,34,0,29,0
"all","group",1,1,1,0,"0","8","bet",80,1,1,0,5,0,38,0,33,0
"all","1,536",3,0,1,0,"18","15","bet",99,2,1,1,8,0,53,1,45,1
"50-100","1,5675",3,0,0,1,"26","25","betmet",80,1,2,0,27,1,57,1,30,0
"noinfo","1,75",3,0,0,1,"19","24","bet",70,1,2,0,10,1,65,1,55,1
"20-50","group",1,0,0,0,"23","","bet",100,2,1,1,0,0,64,1,64,1
"20-50","1,725",3,1,1,0,"19","","betmet",80,1,2,0,17,1,47,1,30,0
"50-100","1,848",3,0,1,1,"17,15","2","bet",90,1,2,0,13,1,44,0,31,0
"20-50","1,7625",3,1,0,0,"26","25","bet",80,1,2,1,0,0,24,0,24,0
">100","1,875",3,1,1,0,"24,5","25","betmet",80,1,2,0,6,0,34,0,28,0
"50-100","1,518",3,0,0,0,"16","","betmet",80,1,2,1,9,0,38,0,29,0
"50-100","1,63262",3,1,1,1,"19,6","","betmet",80,1,2,0,5,0,41,0,36,0
"20-50","1,8",3,1,1,1,"22,5","19","betmet",75,1,2,0,10,1,79,1,70,1
"all","1,1395",12,1,0,1,"22","","bet",100,2,1,0,8,0,35,0,27,0
"50-100","1,9875",3,1,1,1,"18,75","10","bet",70,1,2,0,9,0,50,1,42,1
"all","1,61",3,0,1,1,"17","18","bet",80,1,2,1,4,0,26,0,22,0
"20-50","1,56",3,1,0,0,"21","25","bet",80,1,2,0,8,0,48,1,40,1
"<20","group",2,0,1,0,"21,5","","bet",100,2,12,1,2,0,31,0,29,0
"50-100","3,52",3,0,0,0,"22","","betmet",65,1,2,0,5,0,43,0,38,1
"<20","1,188",13,0,0,0,"17","","bet",60,1,1,0,7,0,45,0,38,1
"50-100","1,6416",3,1,1,1,"21,725","","bet",50,1,2,0,8,0,35,0,27,0
"20-50","2,25",13,0,0,1,"18","13","bet",90,1,2,0,4,0,34,0,30,0
"50-100","1,8881",3,1,1,0,"21,94","","bet",75,1,2,0,5,0,49,1,44,1
"50-100","1,61",3,1,1,1,"22","14","betmet",80,1,1,0,23,1,69,1,45,1
"20-50","1,725",3,1,0,0,"24,25","23","bet",85,1,12,0,11,1,45,0,34,0
"50-100","1,7856",3,0,1,0,"19,075","","betmet",80,1,2,0,14,1,58,1,45,1
"20-50","1,38",1,1,0,0,"22","","bet",100,2,1,1,2,0,43,0,41,1
"50-100","0,9747",124,1,0,0,"18,68","","bet",75,1,2,1,17,1,53,1,35,0
"20-50","1,635",3,1,1,0,"18,1","","bet",67,1,2,0,11,1,60,1,49,1
">100","1,61",3,0,0,0,"26,375","31","bet",80,1,1,0,19,1,51,1,32,0
"50-100","1,61",3,1,0,0,"19,5","19","bet",80,1,2,0,7,0,46,1,39,1
">100","1,84",3,1,1,0,"27,67","28,3","bet",80,1,2,0,14,1,94,1,80,1
"20-50","1,875",3,1,1,1,"19","14","betmet",80,1,2,1,10,1,24,0,14,0
"all","1,87",2,0,1,1,"25","","bet",100,2,1,1,15,1,38,0,24,0
"noinfo","2,25",3,0,0,1,"26","20","bet",80,1,2,NA,17,1,52,1,35,0
">100","1,38",23,0,1,1,"19","","bet",80,1,2,0,12,1,68,1,56,1
">100","1,26",3,1,0,0,"22","","bet",85,1,2,0,6,0,45,0,39,1
"50-100","1,75",12,1,0,0,"18","","bet",80,1,2,1,7,0,57,1,50,1
"50-100","1,54",3,1,1,1,"23,275","","betmet",80,1,2,0,19,1,61,1,42,1
"50-100","1,188",3,0,0,1,"20","","bet",75,1,2,0,11,1,41,0,35,0
"50-100","1,645",3,0,1,0,"22,85","25","bet",55,1,12,0,6,0,44,0,33,0
"<20","1,1375",1,0,0,0,"15","","bet",100,2,1,1,14,1,121,1,107,1
"20-50","1,14",3,0,0,0,"18","","betmet",60,1,2,0,16,1,58,1,42,1
