"R_FAR_secNUM_NO","R_FAR_pensinsecNUM_NO","R_FARpenNUM_NO","R_FAR_pensize_med4.9","R_FAR_noise","R_FAR_airqual","R_FAR_C_NUM_NO","R_FAR_floorsolidNUM_NO","R_FAR_floorsolid_all0_100_100_2_muu1","R_FAR_kuivaliete","R_FAR_kunto","R_FAR_nonslippery","OUT_SOW_mort_proNUM","OUT_SOW_mort_dic","OUT_SOW_totremproNUM","OUT_SOW_totrem_dic","OUT_SOW_cullproNUM","OUT_SOW_cull_dic"
6,28,"4,8","1,0",1,1,19,0,0,2,0,0,5,0,34,0,29,0
1,10,"4,6","1,0",1,0,18,100,2,1,0,0,5,0,38,0,33,0
4,15,"5,6","2,0",0,0,24,50,1,1,0,0,8,0,53,1,45,1
4,40,"3,9","1,0",1,0,26,60,1,2,0,0,27,1,57,1,30,0
12,24,"","",0,0,23,10,0,2,0,0,10,1,65,1,55,1
2,18,"8,0","2,0",1,0,26,100,2,1,0,0,0,0,64,1,64,1
4,18,"4,3","1,0",0,1,23,10,0,2,0,1,17,1,47,1,30,0
2,40,"5,3","2,0",1,0,20,60,1,2,0,0,13,1,44,0,31,0
2,16,"4,5","1,0",0,0,27,55,1,2,0,0,0,0,24,0,24,0
2,20,"5,3","2,0",1,0,24,30,1,2,0,0,6,0,34,0,28,0
1,24,"4,7","1,0",0,0,21,55,1,2,0,0,9,0,38,0,29,0
5,12,"4,3","1,0",1,0,21,20,1,2,0,1,5,0,41,0,36,0
8,12,"4,8","1,0",1,0,26,50,1,2,0,0,10,1,79,1,70,1
1,12,"7,1","2,0",0,0,22,100,2,1,0,0,8,0,35,0,27,0
2,75,"5,0","2,0",0,0,22,50,1,2,0,0,9,0,50,1,42,1
2,16,"6,3","2,0",0,0,19,60,1,2,0,0,4,0,26,0,22,0
1,40,"9,3","2,0",1,0,22,50,1,2,0,1,8,0,48,1,40,1
1,12,"7,0","2,0",0,0,22,100,2,1,0,0,2,0,31,0,29,0
3,30,"8,8","2,0",0,0,22,10,0,2,0,1,5,0,43,0,38,1
2,24,"5,9","2,0",0,0,22,60,1,1,0,0,7,0,45,0,38,1
8,35,"4,8","1,0",1,0,23,10,0,2,0,1,8,0,35,0,27,0
1,18,"4,9","1,0",1,0,19,40,1,2,0,0,4,0,34,0,30,0
6,12,"4,4","1,0",1,1,21,10,0,2,1,0,5,0,49,1,44,1
12,20,"4,8","1,0",0,0,22,58,1,2,0,0,23,1,69,1,45,1
2,36,"5,0","2,0",1,0,23,50,1,2,0,0,11,1,45,0,34,0
6,40,"5,2","2,0",0,0,22,55,1,2,1,0,14,1,58,1,45,1
2,0,"5,1","2,0",1,0,23,50,1,2,0,0,2,0,43,0,41,1
1,22,"6,4","2,0",0,0,19,60,1,2,0,0,17,1,53,1,35,0
1,44,"4,9","1,0",1,0,20,75,1,2,0,0,11,1,60,1,49,1
6,28,"4,9","1,0",1,0,27,60,1,2,0,0,19,1,51,1,32,0
5,28,"5,3","2,0",0,0,20,10,0,2,0,0,7,0,46,1,39,1
4,44,"5,0","2,0",1,0,27,60,1,2,0,0,14,1,94,1,80,1
1,18,"5,1","2,0",0,0,20,63,1,2,0,0,10,1,24,0,14,0
1,20,"5,2","2,0",1,0,25,60,1,2,1,0,15,1,38,0,24,0
6,42,"4,4","1,0",0,0,26,40,1,2,0,0,17,1,52,1,35,0
1,112,"4,9","1,0",0,0,20,10,0,2,0,0,12,1,68,1,56,1
6,38,"4,5","1,0",0,0,24,55,1,2,0,0,6,0,45,0,39,1
5,10,"4,3","1,0",0,0,22,50,1,2,0,1,7,0,57,1,50,1
6,42,"4,7","1,0",0,0,22,10,0,2,0,0,19,1,61,1,42,1
3,24,"4,7","1,0",0,0,20,55,1,2,0,1,11,1,41,0,35,0
6,38,"4,9","1,0",1,0,25,0,0,2,0,0,6,0,44,0,33,0
2,9,"3,9","1,0",0,0,18,75,1,2,1,0,14,1,121,1,107,1
7,36,"4,1","1,0",0,1,22,10,0,1,0,0,16,1,58,1,42,1
