"Haastrooli_1OmEiosall_2OmOsall_3Esimies","Tuotsuunta","Tautsu_012","PORSOSASTO_kertayt_0ei","PORS_pesu_0ei","PORS_desinf_0ei_1LIU_2KUIVA","PORS_tyhjana_mi1vr_0ei","Tuhoelmerkkeja_0kylla_1ei","kissoja0on1ei","Kotielain_sikalaan_0kylla_1ei","Vesi_1kunn_0oma","ClC","ClA","SI","APP","Loisaika_1ennenpors_2_porskars","Ton_tiheys_1aina_2jaetaan","Muutelkaynn_0ei_1_satunn_2kaynnmuusaann","maitokuume","metriitti","valuttelu","mastiitti","ontuma","syomattomyys","kuume","loukkaantuminen","AB_rutiinilaak","Oksitosiini_rutiinisti","Kaynnistys_rutiinisti","NSAID_porsituksessa_rutiini","OMATENSIKOT_0EI_1KYLLa","Ensikk_yhdist_1ennsiem_2tiineena_3porsjalk_4tilantmuk","Kiimantark_ryhmakaytt","Kiimantarkalkaa_vrkvier","Kiimamerk_emakonselka","Kiimantark_postsiem","Postsiem_ryhmakaytt_havainnointi","Tiin_ultra2","Kaynnistaminen_0ei_1rutiini_2yliaika_3ryhma_4satunnainen","Pesantekomatmaara_1runsas_2jnkv_3niukka","PorsitusNSAID_0ei_1rutiinisti_2tarvittaessa","AS_maara123","AS_annostelu1234","AS_sairkars","AS_ruoklaite12345","AS_ruokpaikka","TII_alusta12345","TII_latt_rakenne1234","TII_kuiv_mat12345","TII_maara1234","TII_tonkimat_6_mika","TII_lelu1234","TII_maara123","TII_annostelu1234","TII_sairkars","POR_latt_rakenne1234","POR_maara1234","POR_tonkimat_6_mika","POR_lelu1234","POR_mat_vaiht","POR_maara123","POR_annostelu1234","Koulmax_1peru_2ops_3a_4amk_5yl","Stressi_1erpal_4jnkv","EMKUOLLJAKO","EMPOISJAKO","EMENKUOLLJAKO","EMENPOISJAKO","NIVEL_01","MAKUU01","KOKO_01","OSA_01","JOKUHYLK_01","PLEUR_01","PNEUM_01","SAIRKARS_AST_TII","Karjut_astsiem","emakot","ensikot","lihasiat","karjut","kokemusave","kokemusmax","emakoitaper","nivelpros","paisepros","keuhtulpros","keuhkopros","kokopros","osapros","emkuol","empoisp"
"2","1","2","1","1","1","1","0","0","0","1","0","0","0","0","1","2","1","1","1","1","0","1","1","1","1","0","1","0","1","1","3","0","1","1","1","1","6","4","3","1","2","1","0","4","1","1","13","2","3","1","4","2","1","0","12","3","1","4","1","2","1","4","4","0","0","0","0","2","2","2","2","2","0","2","0","0",600,150,0,4,5,5,150,2.2,7.14,2.2,1.65,1.65,12.64,5.23,34.07
"2","2","0","1","1","1","0","0","0","0","1","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","0","1","1","1","6","0","2","2","2","1","0","4","1","1","13","15","2","1","4","2","1","1","1","3","1","4","1","2","1","3","3","0","0","0","0","1","2","1","1","1","0","1","1","0",37,38,250,1,16.5,25,100,0,0,0,0,0,0,5.44,38.1
"2","2","2","0","0","0","1","0","0","1","1","0","0","0","0","2","1","1","0","0","0","0","1","0","0","0","0","0","0","1","1","3","1","5","1","1","1","8","4","2","1","2","1","0","4","1","1","12","12","1","5","4","1","1","1","12","3","2","4","1","2","2","2","2","0","1","0","0","1","1","2","1","1","0","2","1","0",300,100,300,4,18,30,100,0,4.69,3.13,4.69,1.56,4.69,7.57,52.96
"1","1","2","0","1","1","1","1","1","1","0","0","0","0","0","2","1","0","1","1","0","1","1","1","0","0","1","1","0","0","0","3","1","0","1","1","1","6","4","2","2","2","1","0","4","1","1","13","2","3","1","4","2","1","1","12","3","1","4","1","2","1","3","3","1","1","1","1","2","1","1","1","2","0","1","1","0",550,0,0,6,11,20,137.5,3.38,5.41,0,4.05,1.35,7.43,26.76,56.7
"2","1","2","1","1","1","1","0","1","1","1","0","0","0","0","1","1","1","1","0","0","0","1","1","0","0","0","1","1","0","0","3","1","1","1","1","1","10","2","3","2","2","1","0","4","1","1","13","2","3","1","4","2","1","1","12","3","1","4","1","2","1","5","2","1","1","1","1","1","2","2","2","2","1","2","1","6",2100,710,0,4,10,25,350,2.07,11.32,1.26,28.75,1.62,14.73,9.94,64.67
"1","2","2","0","1","2","1","0","0","0","1","0","0","0","0","1","1","1","1","1","0","0","0","1","0","0","0","1","0","1","1","4","1","0","1","1","1","6","4","2","1","2","1","0","4","1","1","13","2","3","1","4","2","1","1","12","3","1","4","1","2","1","3","4","0","1","0","0","1","1","1","1","1","0","1","1","0",60,30,130,2,32,47,30,2.1,6.8,0.92,1.7,1.36,11.21,0,83.2
"2","2","0","1","0","1","0","0","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1","3","1","1","1","1","1","6","4","3","2","2","1","1","4","1","1","13","2","3","1","4","2","1","1","12","3","1","4","1","2","1","5","4","1","0","1","0","2","2","2","2","2","1","2","1","0",230,80,450,2,25,40,76.67,2.9,14.49,1.45,10.14,7.25,15.94,16.53,46.56
"2","1","0","0","1","12","1","1","1","1","1","0","0","0","0","1","1","0","1","1","0","0","1","1","0","0","0","0","0","1","0","3","1","3","1","1","1","6","0","1","1","2","1","1","4","1","1","1","1","1","1","4","1","1","1","12","2","5","4","1","2","3","3","4","1","0","1","0","2","1","1","1","1","0","1","1","0",200,30,0,1,6,13,100,4.23,0,0,1.41,0,4.23,13.39,44.04
"1","2","0","1","1","1","0","0","1","1","1","0","0","0","0","2","2","0","0","1","0","0","1","0","0","0","0","0","0","0","1","2","1","0","1","1","1","6","0","2","2","3","1","0","0","0","1","13","2","3","1","4","2","4","0","12","3","1","4","1","2","4","3","3","0","1","0","0","1","1","1","1","1","0","1","0","0",100,0,500,2,6,11,50,2.1,6.8,0.92,1.7,1.36,11.21,0,63.76
"2","1","1","1","1","1","0","0","0","1","1","0","0","0","0","1","1","1","0","0","0","0","1","1","0","1","0","1","0","0","0","3","1","1","1","1","1","6","2","2","2","3","1","0","4","1","1","1","14","1","1","4","1","1","1","12","4","1","4","1","2","1","3","1","0","0","0","0","1","2","2","2","1","0","1","1","0",420,30,10,2,12,12,140,0.87,5.22,0.87,0.87,3.48,14.78,6.23,33.74
"2","1","0","0","1","12","1","0","0","0","1","0","0","0","0","2","1","0","1","1","0","0","1","0","0","0","0","0","0","1","1","4","1","1","1","1","1","6","0","1","2","2","1","1","4","1","1","13","2","3","1","4","2","1","1","12","3","1","4","1","2","1","3","1","0","0","0","0","1","2","1","1","1","1","1","1","0",81,19,32,1,30,30,40.5,0,3.7,0,11.11,0,3.7,8.7,38.04
"2","2","1","1","1","1","1","0","0","1","1","0","0","1","0","1","1","1","0","1","0","0","1","1","0","1","0","0","0","0","1","2","1","0","1","1","0","6","0","2","2","2","1","0","4","1","1","13","1","4","1","4","2","1","1","12","4","1","2","1","2","2","2","1","0","0","0","0","2","1","1","2","2","0","2","1","0",220,20,94,2,5,10,110,2.56,15.38,1.28,1.28,0,34.62,5.49,41.17
"2","2","1","1","1","12","1","0","0","0","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","1","1","1","6","2","2","2","2","1","0","4","1","1","12","2","4","1","4","2","1","1","12","3","1","4","1","2","1","3","3","1","1","0","1","2","2","2","1","2","1","1","1","3",750,400,3000,2,6,8,107.14,3.66,5.75,0.7,26.31,5.23,10.45,9.82,79.39
"2","2","2","0","1","1","1","0","0","1","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","3","1","1","0","1","1","6","3","2","2","2","1","0","4","1","1","13","2","3","1","4","2","1","1","12","3","1","4","1","2","1","3","4","0","0","0","0","1","1","1","1","1","0","1","1","0",53,1,56,1,28,28,26.5,2.1,6.8,0.92,1.7,1.36,11.21,7.83,47.61
"2","2","0","0","0","2","1","0","0","1","1","0","0","0","0","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","1","3","1","1","1","0","1","6","0","2","2","2","1","0","4","4","1","13","1","3","1","4","2","1","1","12","3","4","4","2","2","1","3","4","0","1","0","1","1","1","1","1","1","0","1","0","0",570,100,3000,6,30,40,142.5,1.54,3.85,0.38,1.92,0.77,7.69,8.78,50.46
"2","2","1","0","1","12","0","0","1","1","0","0","0","0","0","1","2","0","0","1","0","0","1","1","0","0","0","0","0","0","0","3","1","0","0","1","0","6","0","2","2","2","1","1","4","1","1","13","2","3","1","4","2","1","1","12","3","1","4","1","2","1","3","3","0","0","0","0","1","1","1","1","1","0","1","1","0",40,20,190,1,25,20,20,0,0,0,0,0,0,3.68,25.73
